Observed cones colored
YELLOW | x:-4.636956454877 y:11.80354325572969
YELLOW | x:-2.1029646310661763 y:9.33636026310973
YELLOW | x:0.42079864517598153 y:6.298182680780334
YELLOW | x:-0.6630185474877676 y:7.871584966356202

BLUE | x:-2.1958400378550214 y:4.155862993572795
BLUE | x:-2.381700131289673 y:5.787633969957275
BLUE | x:-4.611523283513896 y:14.59030587928955
BLUE | x:-4.026623150698852 y:12.383336789781495
BLUE | x:-3.609418441986411 y:10.827515315161222
BLUE | x:-2.6836844414398193 y:7.15390463131134
BLUE | x:-3.1300654217526436 y:9.094974240238113
BLUE | x:-4.988995882861328 y:16.06982476967041
YELLOW | x:2.9038396348630267 y:2.482627954656525
YELLOW | x:-0.45138097106666564 y:17.901218965227052
YELLOW | x:-0.9940044611618042 y:19.619336679155275
YELLOW | x:0.7291257848416647 y:13.330584679618124
YELLOW | x:1.5442552569914076 y:10.154223653913844
YELLOW | x:1.2024743110015867 y:11.704852845842284
YELLOW | x:2.0929446339681625 y:7.836783900434417
YELLOW | x:2.4314910441711426 y:6.070339813405914
YELLOW | x:2.700559881336975 y:4.45401589861311

BLUE | x:-2.6657178133651733 y:3.797214780822041
BLUE | x:-3.235423614077282 y:10.317934426242752
BLUE | x:-5.794745855522664 y:17.800129805579427
BLUE | x:-6.43902096449585 y:18.86510745145345
BLUE | x:-2.870529326789093 y:6.031654153838398
BLUE | x:-5.122279736392212 y:16.39981014984314
BLUE | x:-3.1099513871727837 y:8.837284281427307
BLUE | x:-3.006466511735971 y:7.520122108292367
BLUE | x:-3.5059836834594726 y:11.813088272586112
BLUE | x:-3.881340223543358 y:13.271930589849395
YELLOW | x:2.1937505990341184 y:3.782162855639699
YELLOW | x:-0.5093692153617859 y:17.902693345720216
YELLOW | x:-1.3126342922374725 y:19.702886178666994
YELLOW | x:0.20597298704831601 y:16.138845994645997
YELLOW | x:1.5670348132014864 y:10.29540157914481
YELLOW | x:1.7791854150441893 y:8.51563147345466
YELLOW | x:0.9744318495268504 y:14.405321566172416
YELLOW | x:2.0287125279580436 y:6.1759362961596675
YELLOW | x:1.4822888086313883 y:12.200171830827639

BLUE | x:-1.3253777143781502 y:2.910075457344098
BLUE | x:-8.445721957080078 y:18.046004210486654
BLUE | x:-5.1380736956919355 y:15.84665901916687
BLUE | x:-6.694171346219888 y:17.200307951941735
BLUE | x:-1.7006529301330566 y:7.693147852594299
BLUE | x:-2.808335515849304 y:11.743384196931762
BLUE | x:-3.4272091517771406 y:12.964479520494384
BLUE | x:-1.436547762479231 y:5.834078770122239
BLUE | x:-1.9940715838309808 y:9.18080912859851
BLUE | x:-4.162203165881348 y:14.494917466813964
BLUE | x:-1.3135410003013752 y:4.502747843792237
YELLOW | x:3.64875717461853 y:4.1041435744113155
YELLOW | x:-1.3488157321935017 y:18.896773253455404
YELLOW | x:0.9715196833088875 y:15.362768128091735
YELLOW | x:3.153443282026963 y:7.893021784342826
YELLOW | x:2.3903465274381848 y:11.455651675238851
YELLOW | x:-0.09344728836666742 y:17.295741314266763
YELLOW | x:3.394063658523051 y:6.013466511740926
YELLOW | x:2.849440418687948 y:9.85562124508087
YELLOW | x:1.8090371807490666 y:13.275528187130535

BLUE | x:-3.4643660316790266 y:3.9003939376022836
BLUE | x:-15.648017069689942 y:11.364632013017577
BLUE | x:-10.403886529795837 y:9.8497241284198
BLUE | x:-12.014986289533487 y:10.536373450929565
BLUE | x:-13.786906913766915 y:11.147848748312466
BLUE | x:-4.1387056638722735 y:5.455053959861043
BLUE | x:-5.063085377066986 y:6.776360616516853
BLUE | x:-6.565922754002126 y:8.157089639943152
BLUE | x:-8.291169207855008 y:8.9888561399242
YELLOW | x:1.8298308124219258 y:4.02015863316719
YELLOW | x:-6.6871208478932695 y:13.55752358294988
YELLOW | x:-5.046944964918009 y:12.901895652785544
YELLOW | x:-2.1298724559647737 y:10.946619033722062
YELLOW | x:-3.559743445678493 y:11.950810969730574
YELLOW | x:-1.2040997849969048 y:9.714528080682316
YELLOW | x:0.031761990991719564 y:8.058609321290895
YELLOW | x:1.03571155866731 y:6.103473088384974

BLUE | x:-2.870714662228442 y:3.6106074975628464
BLUE | x:-10.62297830282898 y:12.617864206010742
BLUE | x:-12.49380554854126 y:13.1950224663562
BLUE | x:-13.829273872566732 y:13.941825066581014
BLUE | x:-6.100911180596634 y:8.607343005853396
BLUE | x:-8.62903389631958 y:11.24648263710205
BLUE | x:-5.1163951019979885 y:7.1073059446584095
BLUE | x:-3.8296646207496643 y:5.248578860933227
YELLOW | x:2.4344404519782454 y:3.3151753181850223
YELLOW | x:-5.22904401321462 y:14.825547371878866
YELLOW | x:-8.821611496798706 y:17.112105920488283
