0,0,1.5708,0|0.0999999 -2.7,0.0999999 -2.3,0.0999999 -1.9,0.0999999 -1.5,0.0999999 -1.1,0.0999999 -0.6,0.0999999 -0.1,0.0999999 0.3,-4.76837e-08 0.7,-4.76837e-08 1.1,-4.76837e-08 1.5,-4.76837e-08 1.9,-4.76837e-08 2.3,-4.76837e-08 2.7,-4.76837e-08 3.1,-4.76837e-08 3.5,-4.76837e-08 3.9,-4.76837e-08 4.4,-4.76837e-08 4.9,-4.76837e-08 5.4,-4.76837e-08 5.9,-4.76837e-08 6.4,-4.76837e-08 6.9,-4.76837e-08 7.4,-4.76837e-08 7.9,-4.76837e-08 8.4,-4.76837e-08 8.9,-4.76837e-08 9.4,-4.76837e-08 9.9,-4.76837e-08 10.4,-4.76837e-08 10.9,-4.76837e-08 11.4,-4.76837e-08 11.9,-4.76837e-08 12.4,-4.76837e-08 12.9,-4.76837e-08 13.4,-4.76837e-08 13.9,-4.76837e-08 14.4|-2.0733 0,-2.01427 3,-2.2 6,-1.97329 9,-2.2 12,-1.95063 15,-1.87748 18,-1.8 21,-2.15882 24,-2.2 27,-1.94233 29.5,-2.0716 31.0771|2.06329 -7.10543e-15,2.02115 3,2.2 6,1.8 9,1.84994 12,2.0047 15,1.81425 18,1.9824 21,2.2 24,1.95205 27,2.17155 29.5,1.76216 32.1846|0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
-1.08093e-05,0.000726944,1.57081,0.0219757|0.0999999 -2.7,0.0999999 -2.3,0.0999999 -1.9,0.0999999 -1.5,0.0999999 -1.1,0.0999999 -0.6,0.0999999 -0.1,0.0999999 0.3,-4.76837e-08 0.7,-4.76837e-08 1.1,-4.76837e-08 1.5,-4.76837e-08 1.9,-4.76837e-08 2.3,-4.76837e-08 2.7,-4.76837e-08 3.1,-4.76837e-08 3.5,-4.76837e-08 3.9,-4.76837e-08 4.4,-4.76837e-08 4.9,-4.76837e-08 5.4,-4.76837e-08 5.9,-4.76837e-08 6.4,-4.76837e-08 6.9,-4.76837e-08 7.4,-4.76837e-08 7.9,-4.76837e-08 8.4,-4.76837e-08 8.9,-4.76837e-08 9.4,-4.76837e-08 9.9,-4.76837e-08 10.4,-4.76837e-08 10.9,-4.76837e-08 11.4,-4.76837e-08 11.9,-4.76837e-08 12.4,-4.76837e-08 12.9,-4.76837e-08 13.4,-4.76837e-08 13.9,-4.76837e-08 14.4|-2.0733 0,-2.01427 3,-2.2 6,-1.97329 9,-2.2 12,-1.95063 15,-1.87748 18,-1.8 21,-2.15882 24,-2.2 27,-1.94233 29.5,-2.0716 31.0771|2.06329 -7.10543e-15,2.02115 3,2.2 6,1.8 9,1.84994 12,2.0047 15,1.81425 18,1.9824 21,2.2 24,1.95205 27,2.17155 29.5,1.76216 32.1846|0.0516479 2.91056,0.0683842 3.13905,0.0840614 3.1063,0.0878019 3.34322,0.0961659 3.61073,0.099833 3.43979,0.080373 3.37863,0.0556232 3.33072,0.0382383 3.25346,0.0237143 3.22247,0.0124791 3.20669,0.00537124 3.19635,0.0023276 3.17491,0.0010119 3.12291,0.000535691 3.06069
-6.24537e-05,0.00243546,1.57088,0.0457849|0.10021 -2.7,0.10021 -2.3,0.10021 -1.9,0.10021 -1.5,0.10021 -1.1,0.10021 -0.6,0.10021 -0.1,0.10021 0.3,0.000209999 0.7,0.000209999 1.1,0.000209999 1.5,0.000209999 1.9,0.000209999 2.3,0.000209999 2.7,0.000209999 3.1,0.000209999 3.5,0.000209999 3.9,0.000209999 4.4,0.000209999 4.9,0.000209999 5.4,0.000209999 5.9,0.000209999 6.4,0.000209999 6.9,0.000209999 7.4,0.000209999 7.9,0.000209999 8.4,0.000209999 8.9,0.000209999 9.4,0.000209999 9.9,0.000209999 10.4,0.000209999 10.9,0.000209999 11.4,0.000209999 11.9,0.000209999 12.4,0.000209999 12.9,0.000209999 13.4,0.000209999 13.9,0.000209999 14.4|-2.07328 -0.000986481,-2.01415 2.99901,-2.19979 5.99902,-1.97299 8.99901,-2.1996 11.999,-1.95014 14.999,-1.8769 17.999,-1.79933 20.999,-2.15806 23.999,-2.19914 26.999,-1.94139 29.499,-2.07062 31.0761|2.06331 -0.00111469,2.02126 2.99889,2.20021 5.99888,1.8003 8.99889,1.85033 11.9989,2.00518 14.9989,1.81483 17.9989,1.98308 20.9989,2.20077 23.9989,1.95291 26.9989,2.17249 29.4989,1.76318 32.1835|0.0950771 3.98249,0.115934 3.96912,0.127315 4.05249,0.133986 4.05774,0.138693 4.01989,0.125215 4.01133,0.0975742 3.9576,0.0753269 3.94187,0.0494372 3.86143,0.0260062 3.85707,0.0110474 3.82537,0.00435717 3.81044,0.0017516 3.78248,0.00108657 3.76431,0.000980704 3.74879
-0.000218566,0.00472703,1.57108,0.0733346|0.10021 -2.7,0.10021 -2.3,0.10021 -1.9,0.10021 -1.5,0.10021 -1.1,0.10021 -0.6,0.10021 -0.1,0.10021 0.3,0.000209999 0.7,0.000209999 1.1,0.000209999 1.5,0.000209999 1.9,0.000209999 2.3,0.000209999 2.7,0.000209999 3.1,0.000209999 3.5,0.000209999 3.9,0.000209999 4.4,0.000209999 4.9,0.000209999 5.4,0.000209999 5.9,0.000209999 6.4,0.000209999 6.9,0.000209999 7.4,0.000209999 7.9,0.000209999 8.4,0.000209999 8.9,0.000209999 9.4,0.000209999 9.9,0.000209999 10.4,0.000209999 10.9,0.000209999 11.4,0.000209999 11.9,0.000209999 12.4,0.000209999 12.9,0.000209999 13.4,0.000209999 13.9,0.000209999 14.4|-2.07328 -0.000986481,-2.01415 2.99901,-2.19979 5.99902,-1.97299 8.99901,-2.1996 11.999,-1.95014 14.999,-1.8769 17.999,-1.79933 20.999,-2.15806 23.999,-2.19914 26.999,-1.94139 29.499,-2.07062 31.0761|2.06331 -0.00111469,2.02126 2.99889,2.20021 5.99888,1.8003 8.99889,1.85033 11.9989,2.00518 14.9989,1.81483 17.9989,1.98308 20.9989,2.20077 23.9989,1.95291 26.9989,2.17249 29.4989,1.76318 32.1835|0.133418 2.88284,0.146505 2.92408,0.144726 2.83621,0.155784 2.88517,0.126476 2.94479,0.0880171 3.03757,0.0561615 3.3183,0.0286641 3.48776,0.00965106 3.70926,-0.00125941 3.79774,-0.00241224 3.87711,-0.000623733 3.91506,-4.64337e-05 3.91339,0.000219632 3.91054,0.000722026 3.90187
-0.000559989,0.00989695,1.57152,0.116863|0.10021 -2.7,0.10021 -2.3,0.10021 -1.9,0.10021 -1.5,0.10021 -1.1,0.10021 -0.6,0.10021 -0.1,0.10021 0.3,0.000209999 0.7,0.000209999 1.1,0.000209999 1.5,0.000209999 1.9,0.000209999 2.3,0.000209999 2.7,0.000209999 3.1,0.000209999 3.5,0.000209999 3.9,0.000209999 4.4,0.000209999 4.9,0.000209999 5.4,0.000209999 5.9,0.000209999 6.4,0.000209999 6.9,0.000209999 7.4,0.000209999 7.9,0.000209999 8.4,0.000209999 8.9,0.000209999 9.4,0.000209999 9.9,0.000209999 10.4,0.000209999 10.9,0.000209999 11.4,0.000209999 11.9,0.000209999 12.4,0.000209999 12.9,0.000209999 13.4,0.000209999 13.9,0.000209999 14.4|-2.07328 -0.000986481,-2.01415 2.99901,-2.19979 5.99902,-1.97299 8.99901,-2.1996 11.999,-1.95014 14.999,-1.8769 17.999,-1.79933 20.999,-2.15806 23.999,-2.19914 26.999,-1.94139 29.499,-2.07062 31.0761|2.06331 -0.00111469,2.02126 2.99889,2.20021 5.99888,1.8003 8.99889,1.85033 11.9989,2.00518 14.9989,1.81483 17.9989,1.98308 20.9989,2.20077 23.9989,1.95291 26.9989,2.17249 29.4989,1.76318 32.1835|0.148938 4.76204,0.148294 4.68307,0.159407 4.6258,0.132042 4.5254,0.0872478 4.50711,0.0508636 4.50048,0.0293436 4.4838,0.00513665 4.32413,-0.00154296 4.15833,0.000692514 4.03553,0.00277872 4.00883,0.00261933 3.96728,0.00173554 3.95754,0.00160915 3.96341,0.00149355 3.94598
-0.000904114,0.0150173,1.57195,0.102738|0.10021 -2.7,0.10021 -2.3,0.10021 -1.9,0.10021 -1.5,0.10021 -1.1,0.10021 -0.6,0.10021 -0.1,0.10021 0.3,0.000209999 0.7,0.000209999 1.1,0.000209999 1.5,0.000209999 1.9,0.000209999 2.3,0.000209999 2.7,0.000209999 3.1,0.000209999 3.5,0.000209999 3.9,0.000209999 4.4,0.000209999 4.9,0.000209999 5.4,0.000209999 5.9,0.000209999 6.4,0.000209999 6.9,0.000209999 7.4,0.000209999 7.9,0.000209999 8.4,0.000209999 8.9,0.000209999 9.4,0.000209999 9.9,0.000209999 10.4,0.000209999 10.9,0.000209999 11.4,0.000209999 11.9,0.000209999 12.4,0.000209999 12.9,0.000209999 13.4,0.000209999 13.9,0.000209999 14.4|-2.07328 -0.000986481,-2.01415 2.99901,-2.19979 5.99902,-1.97299 8.99901,-2.1996 11.999,-1.95014 14.999,-1.8769 17.999,-1.79933 20.999,-2.15806 23.999,-2.19914 26.999,-1.94139 29.499,-2.07062 31.0761|2.06331 -0.00111469,2.02126 2.99889,2.20021 5.99888,1.8003 8.99889,1.85033 11.9989,2.00518 14.9989,1.81483 17.9989,1.98308 20.9989,2.20077 23.9989,1.95291 26.9989,2.17249 29.4989,1.76318 32.1835|0.17656 0.618411,0.234269 0.631239,0.232077 0.776672,0.18687 0.997198,0.115755 1.33065,0.0747419 1.95158,0.0286124 2.53537,0.0085361 2.98716,0.000774265 3.39753,-0.00272463 3.67702,-0.0012662 3.80704,-0.000574533 3.89487,0.000343672 3.9337,0.000668071 3.94333,0.000962597 3.93774
-0.00142386,0.0208254,1.57261,0.13401|0.10932 -2.7,0.10932 -2.3,0.10932 -1.9,0.10932 -1.5,0.10932 -1.1,0.10932 -0.6,0.00931973 -0.2,0.00931973 0.2,0.00931973 0.6,0.00931973 1,0.00931973 1.4,0.00931973 1.8,0.00931973 2.2,0.00931973 2.6,0.00931973 3,0.00931973 3.4,0.00931973 3.8,0.00931973 4.3,0.00931973 4.8,0.00931973 5.3,0.00931973 5.8,0.00931973 6.3,0.00931973 6.8,0.00931973 7.3,0.00931973 7.8,0.00931973 8.3,0.00931973 8.8,0.00931973 9.3,0.00931973 9.8,0.00931973 10.3,0.00931973 10.8,0.00931973 11.3,0.00931973 11.8,0.00931973 12.3,0.00931973 12.8,0.00931973 13.3,0.00931973 13.8,0.00931973 14.3|-2.07225 -0.0140753,-2.00908 2.98584,-2.19068 5.98609,-1.95984 8.98578,-2.18242 11.9861,-1.92892 14.9857,-1.85163 17.9856,-1.77002 20.9855,-2.12471 23.986,-2.16176 26.9861,-1.90064 29.4857,-2.02775 31.0629|2.06434 -0.0197723,2.02633 2.98028,2.20932 5.98003,1.81345 8.98058,1.86752 11.9805,2.02641 14.9803,1.84009 17.9806,2.01238 20.9803,2.23411 23.98,1.99029 26.9804,2.21323 29.48,1.80754 32.1652|0.194688 6.04251,0.160163 6.1783,0.105587 6.45547,0.00387291 6.34724,-0.0753222 6.13184,-0.106419 5.69947,-0.106197 5.12357,-0.0805744 4.66542,-0.044408 4.23681,-0.0184619 4.00397,-0.00619987 3.90169,-0.00144229 3.90891,-0.00017421 3.91868,0.000445485 3.92982,0.000585303 3.93537
-0.00122215,0.0131911,1.57236,0.164881|0.10932 -2.7,0.10932 -2.3,0.10932 -1.9,0.10932 -1.5,0.10932 -1.1,0.10932 -0.6,0.00931973 -0.2,0.00931973 0.2,0.00931973 0.6,0.00931973 1,0.00931973 1.4,0.00931973 1.8,0.00931973 2.2,0.00931973 2.6,0.00931973 3,0.00931973 3.4,0.00931973 3.8,0.00931973 4.3,0.00931973 4.8,0.00931973 5.3,0.00931973 5.8,0.00931973 6.3,0.00931973 6.8,0.00931973 7.3,0.00931973 7.8,0.00931973 8.3,0.00931973 8.8,0.00931973 9.3,0.00931973 9.8,0.00931973 10.3,0.00931973 10.8,0.00931973 11.3,0.00931973 11.8,0.00931973 12.3,0.00931973 12.8,0.00931973 13.3,0.00931973 13.8,0.00931973 14.3|-2.07225 -0.0140753,-2.00908 2.98584,-2.19068 5.98609,-1.95984 8.98578,-2.18242 11.9861,-1.92892 14.9857,-1.85163 17.9856,-1.77002 20.9855,-2.12471 23.986,-2.16176 26.9861,-1.90064 29.4857,-2.02775 31.0629|2.06434 -0.0197723,2.02633 2.98028,2.20932 5.98003,1.81345 8.98058,1.86752 11.9805,2.02641 14.9803,1.84009 17.9806,2.01238 20.9803,2.23411 23.98,1.99029 26.9804,2.21323 29.48,1.80754 32.1652|0.147124 0.553462,0.104824 0.619848,-0.00053813 0.654527,-0.0941049 0.782968,-0.123145 0.964956,-0.116842 1.10014,-0.0963226 1.32048,-0.0344638 2.02738,-0.0235469 2.6109,-0.00335647 3.26738,-0.00413644 3.70116,-0.00132637 3.86583,-0.000184524 3.9041,0.000405068 3.91079,0.000613001 3.90058
-0.00171391,0.0208713,1.57298,0.145305|0.10932 -2.7,0.10932 -2.3,0.10932 -1.9,0.10932 -1.5,0.10932 -1.1,0.10932 -0.6,0.00931973 -0.2,0.00931973 0.2,0.00931973 0.6,0.00931973 1,0.00931973 1.4,0.00931973 1.8,0.00931973 2.2,0.00931973 2.6,0.00931973 3,0.00931973 3.4,0.00931973 3.8,0.00931973 4.3,0.00931973 4.8,0.00931973 5.3,0.00931973 5.8,0.00931973 6.3,0.00931973 6.8,0.00931973 7.3,0.00931973 7.8,0.00931973 8.3,0.00931973 8.8,0.00931973 9.3,0.00931973 9.8,0.00931973 10.3,0.00931973 10.8,0.00931973 11.3,0.00931973 11.8,0.00931973 12.3,0.00931973 12.8,0.00931973 13.3,0.00931973 13.8,0.00931973 14.3|-2.07225 -0.0140753,-2.00908 2.98584,-2.19068 5.98609,-1.95984 8.98578,-2.18242 11.9861,-1.92892 14.9857,-1.85163 17.9856,-1.77002 20.9855,-2.12471 23.986,-2.16176 26.9861,-1.90064 29.4857,-2.02775 31.0629|2.06434 -0.0197723,2.02633 2.98028,2.20932 5.98003,1.81345 8.98058,1.86752 11.9805,2.02641 14.9803,1.84009 17.9806,2.01238 20.9803,2.23411 23.98,1.99029 26.9804,2.21323 29.48,1.80754 32.1652|0.0598424 1.06903,-0.0583254 1.45535,-0.186739 1.83538,-0.22303 2.05082,-0.203521 2.27314,-0.184276 2.53798,-0.134639 2.8431,-0.0994406 3.26073,-0.0468906 3.52276,-0.0251032 3.70634,-0.00968812 3.87209,-0.00247425 3.93617,0.000125412 3.94748,0.000594812 3.9378,0.000667286 3.93712
-0.00207198,0.0294839,1.57341,0.19384|0.10932 -2.7,0.10932 -2.3,0.10932 -1.9,0.10932 -1.5,0.10932 -1.1,0.10932 -0.6,0.00931973 -0.2,0.00931973 0.2,0.00931973 0.6,0.00931973 1,0.00931973 1.4,0.00931973 1.8,0.00931973 2.2,0.00931973 2.6,0.00931973 3,0.00931973 3.4,0.00931973 3.8,0.00931973 4.3,0.00931973 4.8,0.00931973 5.3,0.00931973 5.8,0.00931973 6.3,0.00931973 6.8,0.00931973 7.3,0.00931973 7.8,0.00931973 8.3,0.00931973 8.8,0.00931973 9.3,0.00931973 9.8,0.00931973 10.3,0.00931973 10.8,0.00931973 11.3,0.00931973 11.8,0.00931973 12.3,0.00931973 12.8,0.00931973 13.3,0.00931973 13.8,0.00931973 14.3|-2.07225 -0.0140753,-2.00908 2.98584,-2.19068 5.98609,-1.95984 8.98578,-2.18242 11.9861,-1.92892 14.9857,-1.85163 17.9856,-1.77002 20.9855,-2.12471 23.986,-2.16176 26.9861,-1.90064 29.4857,-2.02775 31.0629|2.06434 -0.0197723,2.02633 2.98028,2.20932 5.98003,1.81345 8.98058,1.86752 11.9805,2.02641 14.9803,1.84009 17.9806,2.01238 20.9803,2.23411 23.98,1.99029 26.9804,2.21323 29.48,1.80754 32.1652|-0.0822458 7.86838,-0.281108 7.85248,-0.265136 7.83749,-0.272234 7.80506,-0.271021 7.75278,-0.253413 7.63478,-0.239951 7.40653,-0.196801 6.93757,-0.105591 5.91987,-0.0398318 4.93052,-0.0129577 4.28241,-0.00337177 4.03322,-0.000188286 3.95662,0.000856583 3.93495,0.00103569 3.94211
