x,y,z
-0.039496,1.753828,-2.228323
-0.121218,1.787759,-2.280180
-0.079362,1.745617,-2.248917
-0.039608,1.766574,-2.228449
-0.121051,1.792844,-2.271095
-0.080922,1.787945,-2.286902
-0.080365,1.783162,-2.265244
-0.080811,1.801004,-2.271532
-0.039441,1.766478,-2.213193
-0.121218,1.803257,-2.267944
-0.039496,1.776707,-2.210124
-0.121887,1.820768,-2.274424
-0.040837,1.821775,-2.250841
-0.121553,1.823691,-2.261822
-0.080699,1.806045,-2.262412
-0.040217,1.801835,-2.210357
-0.123067,1.846290,-2.274355
-0.081145,1.823962,-2.268551
-0.041119,1.849762,-2.253829
-0.123067,1.854233,-2.267884
-0.081653,1.831481,-2.262466
-0.041288,1.865278,-2.256594
-0.123067,1.861753,-2.261715
-0.081877,1.844430,-2.262250
-0.041119,1.865085,-2.241166
-0.123907,1.882402,-2.270576
-0.082102,1.857008,-2.262292
-0.041401,1.885755,-2.249958
-0.124242,1.895052,-2.270449
-0.082214,1.867450,-2.258870
-0.041176,1.883287,-2.231129
-0.124578,1.908119,-2.269931
-0.082102,1.872382,-2.249585
-0.041458,1.903634,-2.240103
-0.123571,1.900547,-2.244948
-0.082326,1.885369,-2.249156
-0.041627,1.919253,-2.242552
-0.124578,1.923544,-2.256875
-0.082438,1.895797,-2.245608
-0.041288,1.911411,-2.217653
-0.124410,1.928820,-2.247104
-0.082214,1.898067,-2.233206
-0.042142,1.934489,-2.229412
-0.125753,1.957569,-2.264537
-0.082887,1.921461,-2.244784
-0.041914,1.931742,-2.210591
-0.127119,1.978181,-2.273081
-0.083111,1.934515,-2.244113
-0.042085,1.947382,-2.212834
-0.126782,1.980844,-2.260143
-0.084080,1.952429,-2.249745
-0.042542,1.976326,-2.229961
-0.127793,2.004598,-2.271184
-0.084305,1.965541,-2.248930
-0.042542,1.983719,-2.223387
-0.128636,2.025400,-2.279454
-0.085773,2.007732,-2.281065
-0.042370,1.983458,-2.207515
-0.079830,3.765284,-4.133610
-0.079088,3.744571,-4.082099
-0.079373,3.772389,-4.083673
-0.080112,3.775023,-4.059399
-0.001911,3.858034,-4.223028
-0.001919,3.889019,-4.227182
-0.078610,3.731957,-3.957261
-0.078205,3.726485,-3.923894
-0.078089,3.733965,-3.905718
-0.002885,3.897543,-4.120770
-0.160989,2.055925,-2.010386
-0.161491,2.062569,-2.003529
-0.161491,2.069558,-1.996309
-0.161043,2.070754,-1.983539
-0.161940,2.088902,-1.987665
-0.162164,2.098738,-1.983096
-0.161491,2.096918,-1.967551
-0.160818,2.095021,-1.952037
-0.162388,2.122010,-1.964057
-0.161491,2.117099,-1.945819
-0.161043,2.117987,-1.933024
-0.151345,2.490207,-2.561980
-0.152022,2.510327,-2.564686
-0.152869,2.533305,-2.570125
-0.152192,2.530566,-2.550352
-0.153377,2.559236,-2.561282
-0.122227,2.060431,-2.019958
-0.081079,2.028842,-2.008473
-0.121720,2.058539,-2.004739
-0.080285,2.015892,-1.981746
-0.121720,2.065533,-1.997532
-0.080171,2.019600,-1.972249
-0.121550,2.069272,-1.987895
-0.080057,2.023610,-1.962395
-0.121212,2.070423,-1.975134
-0.080285,2.035873,-1.961213
-0.120704,2.068617,-1.959632
-0.079830,2.031166,-1.943023
-0.120873,2.078022,-1.955492
-0.080057,2.043742,-1.941420
-0.120873,2.084843,-1.948218
-0.080171,2.053084,-1.937368
-0.121381,2.100088,-1.949442
-0.080398,2.065678,-1.935649
-0.121889,2.115703,-1.950216
-0.080171,2.066240,-1.923331
-0.122397,2.131350,-1.950906
-0.080852,2.090565,-1.932383
-0.122905,2.146686,-1.951884
-0.081307,2.109089,-1.935880
-0.163026,2.865048,-2.569597
-0.114369,3.057672,-2.582554
-0.114254,3.063614,-2.569283
-0.170327,3.062768,-2.579633
-0.170837,3.089499,-2.566361
-0.115854,3.115138,-2.594924
-0.116425,3.148649,-2.585776
-0.059316,3.122913,-2.511566
-0.118631,3.197486,-2.608140
-0.060559,3.197311,-2.553037
-0.116677,3.153760,-2.554171
-0.060559,3.205770,-2.542407
-0.118631,3.215638,-2.585728
-0.060855,3.230348,-2.543560
-0.119665,3.252776,-2.596926
-0.061506,3.273878,-2.559351
-0.120470,3.283315,-2.603497
-0.061328,3.273326,-2.540532
-0.120815,3.301818,-2.599427
-0.061506,3.291247,-2.536976
-0.121964,3.342384,-2.612494
-0.062690,3.363617,-2.574072
-0.122424,3.364129,-2.610603
-0.063369,3.369399,-2.559875
-0.123344,3.398118,-2.618941
-0.063788,3.400680,-2.564938
-0.122999,3.397723,-2.599760
-0.063788,3.409623,-2.553038
-0.125133,3.444977,-2.616879
-0.064687,3.466223,-2.577502
-0.125712,3.470063,-2.616861
-0.065046,3.494517,-2.579625
-0.127099,3.517596,-2.633473
-0.065945,3.551901,-2.602858
-0.126753,3.516694,-2.614623
-0.066484,3.590085,-2.611604
-0.066663,3.608917,-2.606066
-0.067023,3.637059,-2.608044
-0.067143,3.652668,-2.599956
-0.068107,3.671521,-2.594091
-0.068531,3.703486,-2.597320
-0.068895,3.732236,-2.598072
-0.132637,3.722838,-2.629923
-0.069501,3.773746,-2.608402
-0.132637,3.732006,-2.616896
-0.069682,3.792732,-2.601985
-0.135196,3.822109,-2.641422
-0.231764,1.698370,-1.142552
-0.230414,1.696178,-1.124363
-0.230414,1.700097,-1.118429
-0.230864,1.718725,-1.096992
-0.235364,1.778884,-1.075472
-0.230414,1.748604,-1.040959
-0.231314,1.769873,-1.020383
-0.230864,1.787055,-0.981753
0.591673,3.907124,-2.653659
0.593164,3.926247,-2.646644
0.612058,4.060353,-2.717480
0.598136,3.977254,-2.641786
0.604103,4.026227,-2.654083
0.606092,4.048764,-2.648688
0.612058,4.097942,-2.660456
0.609075,4.086737,-2.633935
0.621505,4.179510,-2.673093
0.614681,4.148705,-2.633006
0.644472,4.406243,-2.669559
0.647451,4.435956,-2.666412
0.645465,4.431151,-2.643536
0.650926,4.477935,-2.650271
0.723604,4.485806,-2.633904
0.648035,4.473576,-2.626624
0.727462,4.518948,-2.632169
0.658943,4.558184,-2.654923
0.733524,4.565853,-2.638164
0.654976,4.539940,-2.623092
0.732422,4.567714,-2.619049
0.666380,4.627820,-2.653412
0.739586,4.621608,-2.628532
0.452331,3.875087,-2.620897
0.517950,3.860077,-2.638020
0.665884,4.633607,-2.635273
0.739035,4.627307,-2.610431
0.448482,3.851166,-2.585148
0.514426,3.842951,-2.606660
0.670842,4.677359,-2.638566
0.750608,4.709009,-2.634869
0.525878,3.937785,-2.650940
0.675801,4.721190,-2.641583
0.751710,4.725116,-2.622241
0.522795,3.923428,-2.622386
0.683238,4.782451,-2.653958
0.761079,4.792795,-2.639025
0.539971,4.089801,-2.651637
0.537769,4.081868,-2.627285
0.552744,4.232869,-2.641533
0.554065,4.251756,-2.633745
0.560672,4.311743,-2.650091
