# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
1869.0; 66.721; 0.05706; 3266.1; -11300.3; 411495.7
1872.0; 66.883; 0.05830; 3264.1; -11314.6; 410740.0
1875.0; 67.046; 0.05985; 3261.8; -11332.1; 410120.6
1878.0; 67.212; 0.06177; 3259.1; -11351.6; 409739.0
1881.0; 67.380; 0.06402; 3256.3; -11370.8; 409697.5
1884.0; 67.552; 0.06635; 3253.9; -11385.7; 410060.4
1887.0; 67.728; 0.06827; 3252.8; -11391.9; 410759.1
1890.0; 67.907; 0.06923; 3253.4; -11385.6; 411527.2
1893.0; 68.087; 0.06900; 3255.8; -11367.7; 412007.2
1896.0; 68.266; 0.06786; 3258.7; -11345.5; 411998.5
1899.0; 68.443; 0.06636; 3260.9; -11328.3; 411564.6
1902.0; 68.618; 0.06504; 3261.4; -11321.6; 410825.3
1905.0; 68.791; 0.06430; 3260.2; -11325.7; 409861.5
1908.0; 68.963; 0.06438; 3258.0; -11338.6; 408740.7
1911.0; 69.134; 0.06535; 3255.2; -11356.3; 407573.0
1914.0; 69.307; 0.06717; 3252.4; -11374.9; 406522.7
1917.0; 69.482; 0.06966; 3249.8; -11390.0; 405810.2
1920.0; 69.659; 0.07249; 3247.9; -11397.3; 405631.1
1923.0; 69.840; 0.07504; 3247.7; -11393.2; 406035.2
1926.0; 70.022; 0.07650; 3250.8; -11375.2; 406770.8
1929.0; 70.205; 0.07603; 3257.7; -11346.0; 407773.7
1932.0; 70.386; 0.07319; 3268.2; -11307.2; 408550.0
1935.0; 70.562; 0.06795; 3280.7; -11260.0; 409212.7
1938.0; 70.731; 0.06076; 3291.9; -11201.7; 410152.6
1941.0; 70.891; 0.05257; 3299.5; -11124.2; 412022.7
1944.0; 71.041; 0.04485; 3307.2; -11005.2; 415639.5
1947.0; 71.180; 0.03811; 3323.0; -10820.3; 420063.0
1950.0; 71.309; 0.03044; 3351.6; -10566.4; 423522.2
1953.0; 71.426; 0.02153; 3387.6; -10294.6; 425924.1
1956.0; 71.534; 0.00938; 3409.8; -10132.6; 424444.8
1959.0; 71.642; -0.01137; 3403.3; -10188.8; 427907.5
1962.0; 71.757; -0.03462; 3384.4; -10317.8; 398372.4
1965.0; 71.881; -0.04496; 3331.4; -10698.0; 405744.9
1968.0; 72.015; -0.04918; 3286.5; -11086.8; 402032.5
1971.0; 72.156; -0.04481; 3269.4; -11243.5; 401317.2
1974.0; 72.297; -0.06413; 3160.7; -11903.9; 398192.7
1977.0; 72.435; -0.12940; 2834.3; -14214.4; 397724.0
1980.0; 72.559; -0.12850; 2840.3; -14181.5; 405417.1
1983.0; 72.682; -0.09991; 3228.0; -11435.9; 403435.9
1986.0; 72.830; -0.12798; 2740.5; -14850.0; 399377.6
1989.0; 72.953; -0.14359; 2863.9; -14008.9; 405394.3
1992.0; 73.075; -0.13173; 2775.0; -14623.7; 408162.7
1995.0; 73.195; -0.14199; 2842.6; -14182.8; 409429.6
1998.0; 73.319; -0.14205; 2872.4; -14039.9; 413455.9
2001.0; 73.444; -0.11644; 3169.1; -12045.7; 416066.0
2004.0; 73.573; -0.08523; 3727.7; -7935.7; 431513.9
2007.0; 73.700; -0.13924; 2968.3; -13345.0; 440899.4
2010.0; 73.828; -0.15249; 3222.7; -11524.3; 425845.1
2013.0; 73.996; -0.05470; 3308.9; -11063.5; 422033.5
2016.0; 74.137; -0.04150; 3355.4; -10703.9; 423297.9
2019.0; 74.266; -0.02952; 3390.8; -10279.0; 428826.4
2022.0; 74.376; -0.01827; 3433.1; -9971.9; 428578.6
2025.0; 74.475; -0.01035; 3453.1; -9824.6; 427936.7
2028.0; 74.572; -0.00519; 3462.1; -9759.5; 428297.1
2031.0; 74.669; -0.00190; 3467.2; -9720.4; 422078.5
2034.0; 74.766; 0.00070; 3469.7; -9702.4; 367254.0
2037.0; 74.865; 0.00215; 3471.2; -9691.6; 407136.9
2040.0; 74.963; 0.00284; 3472.0; -9686.5; 418154.8
2043.0; 75.062; 0.00298; 3472.3; -9685.9; 421768.9
2046.0; 75.161; 0.00291; 3472.2; -9687.1; 422358.3
2049.0; 75.260; 0.00276; 3472.0; -9688.7; 420733.8
2052.0; 75.359; 0.00255; 3471.6; -9691.0; 416006.7
2055.0; 75.459; 0.00231; 3471.1; -9695.1; 404698.0
2058.0; 75.558; 0.00204; 3470.0; -9702.2; 380549.1
2061.0; 75.658; 0.00175; 3468.4; -9713.5; 338895.2
2064.0; 75.759; 0.00145; 3466.0; -9729.8; 243411.6
2067.0; 75.859; -0.00173; 3498.3; -3984.1; 18800.1
2070.0; 75.960; 0.00465; 3473.0; -9680.3; 1804765.2
2073.0; 76.059; 0.00095; 3473.8; -9674.6; 775493.5
2076.0; 76.159; -0.00268; 3474.1; -9670.4; 425120.8
2079.0; 76.259; -0.00218; 3473.6; -9674.1; 347394.7
2082.0; 76.358; -0.00204; 3473.5; -9675.2; 367912.7
2085.0; 76.458; -0.00230; 3473.2; -9677.6; 392933.3
2088.0; 76.558; -0.00298; 3472.6; -9682.1; 407852.2
2091.0; 76.658; -0.00398; 3471.6; -9689.5; 415720.0
2094.0; 76.758; -0.00514; 3469.9; -9702.0; 419586.6
2097.0; 76.859; -0.00616; 3467.1; -9722.5; 421500.7
2100.0; 76.960; -0.00683; 3462.8; -9753.9; 421984.4
2103.0; 77.063; -0.00697; 3456.7; -9797.9; 420050.5
2106.0; 77.168; 0.00160; 3442.0; -9904.5; 432712.8
2109.0; 77.276; 0.01492; 3433.7; -9961.4; 416121.8
2112.0; 77.388; 0.02340; 3412.2; -10120.6; 413913.2
2115.0; 77.507; 0.03177; 3375.2; -10391.3; 410763.7
2118.0; 77.632; 0.03860; 3331.2; -10699.2; 403934.3
2121.0; 77.763; 0.04089; 3309.0; -10953.9; 397178.8
2124.0; 77.898; 0.08776; 3241.8; -11377.6; 390328.8
2127.0; 78.028; 0.07710; 3268.9; -11136.6; 382225.9
2130.0; 78.171; 0.08107; 4011.0; -5977.2; 379259.1
2133.0; 78.295; 0.15622; 2604.8; -15772.3; 397010.1
2136.0; 78.418; 0.14253; 2605.2; -15754.3; 428246.2
2139.0; 78.543; 0.11502; 2487.6; -16508.3; 444634.1
2142.0; 78.669; 0.09032; 3398.7; -10316.0; 449287.2
2145.0; 78.806; 0.07355; 3482.4; -9604.4; 446597.1
2148.0; 78.954; 0.05552; 3357.2; -10639.4; 439746.9
2151.0; 79.099; 0.04003; 3434.5; -10292.2; 430467.6
2154.0; 79.222; 0.01796; 3426.6; -10055.8; 425646.0
2157.0; 79.331; -0.00402; 3423.0; -10038.2; 410764.7
2160.0; 79.441; -0.02302; 3399.7; -10204.2; 405543.8
2163.0; 79.558; -0.03415; 3359.0; -10506.9; 410369.1
2166.0; 79.683; -0.03984; 3320.4; -10779.8; 411640.3
2169.0; 79.814; -0.04219; 3299.2; -10968.4; 413280.5
2172.0; 79.949; -0.04311; 3289.4; -11070.3; 415800.5
2175.0; 80.089; -0.04304; 3289.5; -11101.5; 417896.6
2178.0; 80.229; -0.04163; 3295.0; -11079.5; 419230.6
2181.0; 80.369; -0.03886; 3304.2; -11013.6; 420210.6
2184.0; 80.505; -0.03522; 3317.3; -10902.5; 421354.1
2187.0; 80.636; -0.03117; 3335.8; -10740.1; 423001.7
2190.0; 80.760; -0.02668; 3360.3; -10530.0; 424589.9
2193.0; 80.876; -0.02133; 3389.5; -10293.5; 425423.4
2196.0; 80.984; -0.01531; 3418.5; -10076.4; 425933.5
2199.0; 81.086; -0.00982; 3440.5; -9916.3; 426507.3
2202.0; 81.183; -0.00616; 3454.2; -9817.6; 427375.2
2205.0; 81.280; -0.00409; 3461.5; -9764.1; 428271.6
2208.0; 81.377; -0.00319; 3465.3; -9736.9; 428714.8
2211.0; 81.474; -0.00202; 3467.9; -9719.0; 427808.7
2214.0; 81.572; -0.00090; 3469.8; -9704.8; 421078.9
2217.0; 81.671; -0.00024; 3471.2; -9694.9; 473374.9
2220.0; 81.770; -0.00007; 3471.3; -9696.4; 180039.0
2223.0; 81.869; 0.00010; 3472.9; -9683.0; 308975.9
2226.0; 81.968; 0.00024; 3473.2; -9680.9; 367180.0
2229.0; 82.068; 0.00032; 3472.8; -9683.1; 388029.5
2232.0; 82.167; 0.00036; 3472.2; -9687.6; 391720.8
2235.0; 82.267; 0.00036; 3471.0; -9695.7; 384547.2
2238.0; 82.367; 0.00036; 3469.0; -9710.1; 365490.5
2241.0; 82.468; 0.00035; 3465.5; -9735.1; 326804.2
2244.0; 82.570; 0.00004; 3456.9; -9796.3; 250084.6
2247.0; 82.673; -0.00017; 3421.6; -10022.5; 93593.2
2250.0; 82.777; -0.00014; 3466.8; -9728.0; -230903.7
2253.0; 82.883; 0.00033; 3454.5; -9815.1; -898668.6
2256.0; 82.990; 0.00067; 3438.2; -9933.1; -2126983.5
2259.0; 83.099; -0.00038; 3430.1; -9992.0; -5102776.0
2262.0; 83.203; -0.00060; 3440.1; -9919.4; -4881450.2
2265.0; 83.299; 0.00087; 3450.4; -9844.7; 576403.2
2268.0; 83.394; -0.00030; 3456.4; -9800.6; 1844942.2
2271.0; 83.491; 0.00035; 3460.1; -9773.5; 1755801.1
2274.0; 83.590; 0.00081; 3458.2; -9787.3; 1478092.0
2277.0; 83.691; 0.00138; 3453.5; -9821.0; 1736362.4
2280.0; 83.794; 0.00327; 3440.9; -9911.8; 2687929.5
2283.0; 83.902; 0.00372; 3421.9; -10049.4; 2406701.8
2286.0; 84.014; 0.00803; 3394.0; -10251.7; 2007929.8
2289.0; 84.134; 0.01597; 3432.8; -9971.4; 13178541.4
2292.0; 84.274; 0.01621; 3447.6; -9864.0; 15884376.6
2295.0; 84.435; 0.01386; 3433.2; -9969.3; 11036747.2
2298.0; 84.605; 0.00661; 3429.7; -9995.7; 11905890.8
2301.0; 84.763; 0.00480; 3440.6; -9915.2; 4725504.7
2304.0; 84.871; 0.00375; 3436.9; -9942.1; 9802858.9
2307.0; 84.972; 0.00307; 3445.1; -9881.9; 6394383.4
2310.0; 85.069; 0.00227; 3448.9; -9854.6; 2556480.0
2313.0; 85.167; 0.00261; 3451.1; -9838.8; 9710753.6
2316.0; 85.264; 0.00089; 3461.4; -9763.7; 15771163.4
2319.0; 85.362; -0.00002; 3467.9; -9717.0; 5187543.0
2322.0; 85.461; -0.00079; 3469.3; -9707.1; 2610240.7
2325.0; 85.560; -0.00012; 3468.6; -9712.1; 1812464.0
