# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
1089.0; 38.643; 29.59; 0.00179; 0.22032; -0.30734; 0.00267
1092.0; 38.746; 29.61; 0.00082; -0.08446; -0.29681; 0.00450
1095.0; 38.848; 29.94; -0.00041; 0.08449; -0.28578; 0.00372
1098.0; 38.949; 29.87; -0.00121; -0.01522; -0.27878; 0.00491
1101.0; 39.050; 29.92; 0.00116; 0.00794; -0.27203; 0.00269
1104.0; 39.151; 30.01; -0.01366; -0.00026; -0.27439; 0.00157
1107.0; 39.252; 30.13; -0.00622; 0.00150; -0.27466; 0.00020
1110.0; 39.352; 30.23; -0.00464; 0.00095; -0.28232; -0.00142
1113.0; 39.452; 30.29; -0.00406; 0.00082; -0.29710; -0.00309
1116.0; 39.552; 30.33; -0.00376; 0.00171; -0.31915; -0.00451
1119.0; 39.652; 30.35; -0.00356; 0.00346; -0.34746; -0.00540
1122.0; 39.751; 30.36; -0.00337; 0.00608; -0.37942; -0.00546
1125.0; 39.851; 30.37; -0.00318; 0.00929; -0.41101; -0.00456
1128.0; 39.950; 30.37; -0.00299; 0.01270; -0.43785; -0.00286
1131.0; 40.050; 30.36; -0.00283; 0.01586; -0.45658; -0.00072
1134.0; 40.149; 30.36; -0.00270; 0.01845; -0.46591; 0.00136
1137.0; 40.249; 30.35; -0.00260; 0.02041; -0.46711; 0.00294
1140.0; 40.349; 30.35; -0.00251; 0.02201; -0.46319; 0.00382
1143.0; 40.448; 30.34; -0.00243; 0.02367; -0.45789; 0.00410
1146.0; 40.548; 30.34; -0.00233; 0.02592; -0.45384; 0.00416
1149.0; 40.648; 30.34; -0.00218; 0.02901; -0.45158; 0.00455
1152.0; 40.747; 30.34; -0.00201; 0.03276; -0.44876; 0.00569
1155.0; 40.847; 30.35; -0.00184; 0.03650; -0.44071; 0.00766
1158.0; 40.947; 30.35; -0.00171; 0.03923; -0.42272; 0.01002
1161.0; 41.046; 30.35; -0.00168; 0.04003; -0.39275; 0.01201
1164.0; 41.146; 30.35; -0.00175; 0.03843; -0.35251; 0.01296
1167.0; 41.246; 30.34; -0.00195; 0.03432; -0.30690; 0.01266
1170.0; 41.345; 30.33; -0.00226; 0.02760; -0.26254; 0.01117
1173.0; 41.445; 30.31; -0.00264; 0.01956; -0.22524; 0.00872
1176.0; 41.545; 30.29; -0.00306; 0.01074; -0.19933; 0.00561
1179.0; 41.645; 30.26; -0.00355; 0.00046; -0.18722; 0.00206
1182.0; 41.745; 30.24; -0.00413; -0.01143; -0.19011; -0.00196
1185.0; 41.844; 30.24; -0.00485; -0.02547; -0.20929; -0.00669
1188.0; 41.944; 30.27; -0.00583; -0.04231; -0.24733; -0.01249
1191.0; 42.044; 30.11; 0.00161; 0.14195; -0.27920; -0.00973
1194.0; 42.145; 30.16; 0.00361; 0.00887; -0.29430; -0.00315
1197.0; 42.245; 30.21; 0.00535; 0.00405; -0.30935; -0.00253
1200.0; 42.345; 30.25; 0.00471; 0.00073; -0.32263; -0.00145
1203.0; 42.445; 30.28; 0.00418; -0.00091; -0.33236; -0.00023
1206.0; 42.544; 30.28; 0.00395; -0.00075; -0.33854; 0.00083
1209.0; 42.644; 30.26; 0.00393; 0.00145; -0.34201; 0.00180
1212.0; 42.744; 30.22; 0.00408; 0.00582; -0.34258; 0.00320
1215.0; 42.844; 30.15; 0.00435; 0.01231; -0.33774; 0.00562
1218.0; 42.944; 30.03; 0.00476; 0.02051; -0.32253; 0.00944
1221.0; 43.045; 29.79; -0.00223; -0.13351; -0.31444; 0.00652
1224.0; 43.147; 29.54; -0.00052; -0.13021; -0.33584; -0.00465
1227.0; 43.249; 29.20; -0.00325; -0.00062; -0.36926; -0.01028
1230.0; 43.353; 28.69; -0.00289; 0.01327; -0.39884; -0.01006
1233.0; 43.459; 27.93; -0.00136; 0.04404; -0.42561; -0.00909
1236.0; 43.568; 26.90; 0.00126; 0.09349; -0.45101; -0.00591
1239.0; 43.681; 25.67; 0.00322; 0.12813; -0.47594; -0.00236
1242.0; 43.799; 24.38; 0.00192; 0.16727; -0.50928; -0.00151
1245.0; 43.922; 23.10; 0.00001; 0.20244; -0.56260; -0.00368
1248.0; 44.052; 21.83; -0.00284; 0.22800; -0.64522; -0.00808
1251.0; 44.188; 20.53; -0.00646; 0.24275; -0.76049; -0.01325
1254.0; 44.332; 19.09; -0.01005; 0.25179; -0.90027; -0.01629
1257.0; 44.489; 17.52; -0.01236; 0.26639; -1.03874; -0.01324
1260.0; 44.662; 16.28; -0.01232; 0.30130; -1.13699; -0.00228
1263.0; 44.852; 15.51; -0.01041; 0.35216; -1.16673; 0.01314
1266.0; 45.053; 15.07; -0.00802; 0.40371; -1.12604; 0.02548
1269.0; 45.262; 14.92; -0.00617; 0.45083; -1.04103; 0.02743
1272.0; 45.473; 14.97; -0.00445; 0.48662; -0.95958; 0.01618
1275.0; 45.681; 15.14; -0.00434; 0.50281; -0.92453; -0.00027
1278.0; 45.886; 15.42; -0.00556; 0.50003; -0.93708; -0.00763
1281.0; 46.083; 15.86; -0.00772; 0.48177; -0.96038; 0.00003
1284.0; 46.273; 16.49; -0.01013; 0.45200; -0.95623; 0.01721
1287.0; 46.453; 17.30; -0.01228; 0.41447; -0.90926; 0.03479
1290.0; 46.622; 18.29; -0.01420; 0.37188; -0.82988; 0.04504
1293.0; 46.781; 19.42; -0.01555; 0.32745; -0.74487; 0.04476
1296.0; 46.929; 20.70; -0.01582; 0.28637; -0.67826; 0.03708
1299.0; 47.067; 22.20; -0.01482; 0.25318; -0.63743; 0.02755
1302.0; 47.196; 23.94; -0.01293; 0.22680; -0.61813; 0.02011
1305.0; 47.317; 25.80; -0.01071; 0.20226; -0.61075; 0.01682
1308.0; 47.429; 27.52; -0.00858; 0.17531; -0.60266; 0.01801
1311.0; 47.536; 28.83; -0.00676; 0.14626; -0.58341; 0.02152
1314.0; 47.639; 29.67; -0.00526; 0.11964; -0.55147; 0.02394
1317.0; 47.740; 30.11; -0.00405; 0.09921; -0.51402; 0.02363
1320.0; 47.840; 30.30; -0.00308; 0.08576; -0.47951; 0.02124
1323.0; 47.939; 30.35; -0.00234; 0.07826; -0.45323; 0.01795
1326.0; 48.038; 30.34; -0.00178; 0.07512; -0.43717; 0.01462
1329.0; 48.138; 30.30; -0.00137; 0.07484; -0.43082; 0.01190
1332.0; 48.238; 30.28; -0.00109; 0.07613; -0.43154; 0.01017
1335.0; 48.337; 30.27; -0.00088; 0.07788; -0.43529; 0.00957
1338.0; 48.437; 30.29; -0.00072; 0.07916; -0.43763; 0.00993
1341.0; 48.537; 30.34; -0.00060; 0.07917; -0.43498; 0.01083
1344.0; 48.636; 30.41; -0.00050; 0.07718; -0.42566; 0.01172
1347.0; 48.735; 30.48; -0.00045; 0.07250; -0.41030; 0.01208
1350.0; 48.835; 30.55; -0.00050; 0.06578; -0.39145; 0.01153
1353.0; 48.933; 30.59; -0.00066; 0.06223; -0.37251; 0.01002
1356.0; 49.032; 30.60; -0.00064; 0.06254; -0.35653; 0.00784
1359.0; 49.131; 30.61; -0.00062; 0.06272; -0.34551; 0.00547
1362.0; 49.230; 30.60; -0.00069; 0.06089; -0.34018; 0.00326
1365.0; 49.328; 30.59; -0.00081; 0.05822; -0.34034; 0.00141
1368.0; 49.427; 30.57; -0.00096; 0.05493; -0.34483; 0.00008
1371.0; 49.526; 30.55; -0.00113; 0.05118; -0.35182; -0.00064
1374.0; 49.625; 30.52; -0.00131; 0.04710; -0.35919; -0.00072
1377.0; 49.724; 30.50; -0.00151; 0.04288; -0.36481; -0.00017
1380.0; 49.824; 30.47; -0.00170; 0.03873; -0.36672; 0.00096
1383.0; 49.923; 30.46; -0.00190; 0.03458; -0.36381; 0.00241
1386.0; 50.022; 30.45; -0.00209; 0.03057; -0.35605; 0.00374
1389.0; 50.121; 30.44; -0.00226; 0.02697; -0.34459; 0.00457
1392.0; 50.221; 30.43; -0.00242; 0.02384; -0.33157; 0.00483
1395.0; 50.320; 30.43; -0.00254; 0.02125; -0.31893; 0.00464
1398.0; 50.419; 30.43; -0.00265; 0.01918; -0.30798; 0.00415
1401.0; 50.519; 30.43; -0.00273; 0.01759; -0.29943; 0.00350
1404.0; 50.618; 30.43; -0.00279; 0.01639; -0.29356; 0.00281
1407.0; 50.717; 30.43; -0.00284; 0.01552; -0.29029; 0.00214
1410.0; 50.817; 30.42; -0.00288; 0.01489; -0.28933; 0.00156
1413.0; 50.916; 30.42; -0.00290; 0.01445; -0.29024; 0.00109
1416.0; 51.015; 30.42; -0.00292; 0.01410; -0.29250; 0.00072
1419.0; 51.115; 30.42; -0.00294; 0.01381; -0.29576; 0.00042
1422.0; 51.214; 30.42; -0.00296; 0.01352; -0.29984; 0.00017
1425.0; 51.313; 30.42; -0.00297; 0.01324; -0.30468; -0.00002
1428.0; 51.413; 30.42; -0.00299; 0.01297; -0.31017; -0.00014
1431.0; 51.512; 30.42; -0.00301; 0.01270; -0.31598; -0.00014
1434.0; 51.612; 30.42; -0.00302; 0.01242; -0.32158; -0.00005
1437.0; 51.711; 30.42; -0.00304; 0.01210; -0.32658; 0.00011
1440.0; 51.810; 30.42; -0.00307; 0.01172; -0.33076; 0.00028
1443.0; 51.910; 30.42; -0.00309; 0.01132; -0.33427; 0.00044
1446.0; 52.009; 30.42; -0.00312; 0.01092; -0.33729; 0.00061
1449.0; 52.108; 30.42; -0.00314; 0.01056; -0.33987; 0.00081
1452.0; 52.208; 30.42; -0.00316; 0.01025; -0.34187; 0.00109
1455.0; 52.307; 30.42; -0.00317; 0.01002; -0.34302; 0.00142
1458.0; 52.406; 30.42; -0.00317; 0.00990; -0.34315; 0.00176
1461.0; 52.506; 30.42; -0.00317; 0.00990; -0.34234; 0.00205
1464.0; 52.605; 30.42; -0.00316; 0.01004; -0.34084; 0.00230
1467.0; 52.704; 30.42; -0.00314; 0.01032; -0.33880; 0.00255
1470.0; 52.804; 30.42; -0.00312; 0.01073; -0.33608; 0.00286
1473.0; 52.903; 30.42; -0.00308; 0.01123; -0.33222; 0.00329
1476.0; 53.003; 30.42; -0.00305; 0.01175; -0.32654; 0.00381
1479.0; 53.102; 30.42; -0.00303; 0.01222; -0.31841; 0.00434
1482.0; 53.201; 30.42; -0.00301; 0.01253; -0.30772; 0.00470
1485.0; 53.301; 30.42; -0.00299; 0.01267; -0.29530; 0.00473
1488.0; 53.400; 30.42; -0.00299; 0.01267; -0.28282; 0.00433
1491.0; 53.499; 30.42; -0.00299; 0.01261; -0.27231; 0.00348
1494.0; 53.599; 30.42; -0.00299; 0.01260; -0.26589; 0.00230
1497.0; 53.698; 30.42; -0.00298; 0.01278; -0.26501; 0.00105
1500.0; 53.797; 30.42; -0.00295; 0.01327; -0.26978; 0.00003
1503.0; 53.897; 30.42; -0.00291; 0.01407; -0.27870; -0.00052
1506.0; 53.996; 30.42; -0.00286; 0.01504; -0.28914; -0.00051
1509.0; 54.096; 30.42; -0.00281; 0.01602; -0.29844; -0.00010
1512.0; 54.195; 30.42; -0.00276; 0.01684; -0.30491; 0.00045
1515.0; 54.294; 30.42; -0.00273; 0.01742; -0.30838; 0.00082
1518.0; 54.394; 30.42; -0.00271; 0.01777; -0.31025; 0.00079
1521.0; 54.493; 30.42; -0.00270; 0.01800; -0.31280; 0.00033
1524.0; 54.592; 30.42; -0.00269; 0.01826; -0.31825; -0.00044
1527.0; 54.692; 30.42; -0.00267; 0.01867; -0.32783; -0.00121
1530.0; 54.791; 30.42; -0.00264; 0.01929; -0.34113; -0.00165
1533.0; 54.891; 30.42; -0.00260; 0.02004; -0.35624; -0.00150
1536.0; 54.990; 30.42; -0.00256; 0.02082; -0.37031; -0.00069
1539.0; 55.089; 30.42; -0.00253; 0.02150; -0.38041; 0.00070
1542.0; 55.189; 30.42; -0.00251; 0.02194; -0.38417; 0.00248
1545.0; 55.288; 30.42; -0.00251; 0.02204; -0.38013; 0.00439
1548.0; 55.388; 30.42; -0.00252; 0.02175; -0.36797; 0.00612
1551.0; 55.487; 30.42; -0.00256; 0.02102; -0.34863; 0.00739
1554.0; 55.586; 30.42; -0.00261; 0.01990; -0.32435; 0.00795
1557.0; 55.686; 30.42; -0.00268; 0.01852; -0.29842; 0.00769
1560.0; 55.785; 30.42; -0.00275; 0.01707; -0.27459; 0.00666
1563.0; 55.884; 30.42; -0.00281; 0.01582; -0.25629; 0.00511
1566.0; 55.984; 30.42; -0.00285; 0.01505; -0.24570; 0.00335
1569.0; 56.083; 30.42; -0.00285; 0.01496; -0.24336; 0.00170
1572.0; 56.183; 30.42; -0.00281; 0.01559; -0.24823; 0.00043
1575.0; 56.282; 30.41; -0.00275; 0.01686; -0.25806; -0.00027
1578.0; 56.381; 30.41; -0.00266; 0.01859; -0.27001; -0.00035
1581.0; 56.481; 30.40; -0.00256; 0.02058; -0.28144; 0.00011
1584.0; 56.580; 30.40; -0.00246; 0.02269; -0.29022; 0.00093
1587.0; 56.680; 30.40; -0.00236; 0.02472; -0.29516; 0.00189
1590.0; 56.779; 30.40; -0.00227; 0.02657; -0.29596; 0.00279
1593.0; 56.879; 30.39; -0.00219; 0.02818; -0.29319; 0.00347
1596.0; 56.978; 30.39; -0.00213; 0.02951; -0.28801; 0.00383
1599.0; 57.077; 30.39; -0.00208; 0.03055; -0.28176; 0.00385
1602.0; 57.177; 30.39; -0.00205; 0.03128; -0.27554; 0.00365
1605.0; 57.276; 30.40; -0.00203; 0.03171; -0.26996; 0.00337
1608.0; 57.376; 30.40; -0.00202; 0.03185; -0.26506; 0.00314
1611.0; 57.475; 30.40; -0.00203; 0.03175; -0.26060; 0.00299
1614.0; 57.575; 30.40; -0.00204; 0.03144; -0.25626; 0.00291
1617.0; 57.674; 30.40; -0.00207; 0.03096; -0.25177; 0.00285
1620.0; 57.774; 30.40; -0.00210; 0.03033; -0.24707; 0.00278
1623.0; 57.873; 30.40; -0.00214; 0.02957; -0.24238; 0.00264
1626.0; 57.973; 30.41; -0.00218; 0.02873; -0.23810; 0.00244
1629.0; 58.072; 30.41; -0.00222; 0.02787; -0.23457; 0.00219
1632.0; 58.171; 30.41; -0.00226; 0.02705; -0.23197; 0.00195
1635.0; 58.271; 30.41; -0.00230; 0.02624; -0.23021; 0.00177
1638.0; 58.370; 30.41; -0.00234; 0.02545; -0.22889; 0.00168
1641.0; 58.470; 30.41; -0.00238; 0.02468; -0.22754; 0.00163
1644.0; 58.569; 30.41; -0.00242; 0.02388; -0.22590; 0.00157
1647.0; 58.668; 30.41; -0.00246; 0.02302; -0.22419; 0.00141
1650.0; 58.768; 30.41; -0.00251; 0.02212; -0.22310; 0.00110
1653.0; 58.867; 30.41; -0.00255; 0.02128; -0.22362; 0.00074
1656.0; 58.967; 30.41; -0.00259; 0.02058; -0.22605; 0.00050
1659.0; 59.066; 30.41; -0.00262; 0.02005; -0.22971; 0.00053
1662.0; 59.165; 30.41; -0.00264; 0.01963; -0.23313; 0.00093
1665.0; 59.265; 30.41; -0.00266; 0.01925; -0.23462; 0.00167
1668.0; 59.364; 30.41; -0.00268; 0.01885; -0.23270; 0.00268
1671.0; 59.464; 30.41; -0.00270; 0.01840; -0.22641; 0.00380
1674.0; 59.563; 30.41; -0.00273; 0.01790; -0.21555; 0.00484
1677.0; 59.662; 30.41; -0.00275; 0.01736; -0.20070; 0.00559
1680.0; 59.762; 30.41; -0.00278; 0.01681; -0.18331; 0.00589
1683.0; 59.861; 30.41; -0.00280; 0.01631; -0.16531; 0.00567
1686.0; 59.961; 30.41; -0.00282; 0.01590; -0.14873; 0.00497
1689.0; 60.060; 30.41; -0.00283; 0.01563; -0.13548; 0.00387
1692.0; 60.159; 30.41; -0.00284; 0.01555; -0.12705; 0.00254
1695.0; 60.259; 30.41; -0.00283; 0.01571; -0.12427; 0.00116
1698.0; 60.358; 30.41; -0.00280; 0.01615; -0.12711; -0.00008
1701.0; 60.457; 30.41; -0.00277; 0.01683; -0.13473; -0.00104
1704.0; 60.557; 30.41; -0.00272; 0.01770; -0.14576; -0.00166
1707.0; 60.656; 30.40; -0.00267; 0.01869; -0.15872; -0.00193
1710.0; 60.756; 30.40; -0.00262; 0.01971; -0.17229; -0.00192
1713.0; 60.855; 30.40; -0.00257; 0.02073; -0.18553; -0.00168
1716.0; 60.955; 30.40; -0.00252; 0.02168; -0.19777; -0.00125
1719.0; 61.054; 30.40; -0.00248; 0.02256; -0.20845; -0.00067
1722.0; 61.153; 30.39; -0.00244; 0.02337; -0.21697; 0.00005
1725.0; 61.253; 30.39; -0.00240; 0.02406; -0.22276; 0.00085
1728.0; 61.352; 30.38; -0.00238; 0.02458; -0.22556; 0.00163
1731.0; 61.452; 30.37; -0.00236; 0.02498; -0.22556; 0.00228
1734.0; 61.551; 30.36; -0.00233; 0.02535; -0.22346; 0.00273
1737.0; 61.651; 30.35; -0.00231; 0.02585; -0.22033; 0.00298
1740.0; 61.751; 30.33; -0.00226; 0.02666; -0.21725; 0.00311
1743.0; 61.850; 30.31; -0.00220; 0.02797; -0.21497; 0.00324
1746.0; 61.950; 30.29; -0.00210; 0.03003; -0.21379; 0.00344
1749.0; 62.050; 30.26; -0.00195; 0.03301; -0.21392; 0.00368
1752.0; 62.150; 30.23; -0.00176; 0.03700; -0.21555; 0.00396
1755.0; 62.250; 30.20; -0.00153; 0.04190; -0.21847; 0.00446
1758.0; 62.350; 30.18; -0.00127; 0.04742; -0.22155; 0.00540
1761.0; 62.450; 30.16; -0.00101; 0.05308; -0.22259; 0.00694
1764.0; 62.550; 30.16; -0.00077; 0.05824; -0.21862; 0.00906
1767.0; 62.650; 30.18; -0.00058; 0.06227; -0.20654; 0.01148
1770.0; 62.750; 30.21; -0.00048; 0.06469; -0.18422; 0.01369
1773.0; 62.850; 30.25; -0.00046; 0.06519; -0.15160; 0.01490
1776.0; 62.950; 30.30; -0.00054; 0.06359; -0.11170; 0.01427
1779.0; 63.050; 30.35; -0.00073; 0.05971; -0.07109; 0.01104
1782.0; 63.149; 30.37; -0.00103; 0.05336; -0.03905; 0.00517
1785.0; 63.249; 30.38; -0.00143; 0.04458; -0.02402; -0.00204
1788.0; 63.348; 30.36; -0.00192; 0.03408; -0.02960; -0.00859
1791.0; 63.448; 30.33; -0.00238; 0.02422; -0.05446; -0.01286
1794.0; 63.548; 30.27; -0.00284; 0.01453; -0.09328; -0.01393
1797.0; 63.647; 30.17; -0.00330; 0.00484; -0.13664; -0.01117
1800.0; 63.748; 30.00; -0.00359; -0.00122; -0.17263; -0.00484
1803.0; 63.848; 29.73; -0.00345; 0.00162; -0.19150; 0.00285
1806.0; 63.950; 29.35; -0.00268; 0.01740; -0.19092; 0.00912
1809.0; 64.054; 28.80; -0.00126; 0.04621; -0.17756; 0.01302
1812.0; 64.159; 28.09; 0.00085; 0.08788; -0.15686; 0.01552
1815.0; 64.267; 27.32; 0.00191; 0.10820; -0.13428; 0.01669
1818.0; 64.377; 26.54; 0.00093; 0.13200; -0.11611; 0.01624
1821.0; 64.491; 25.76; -0.00003; 0.15578; -0.10536; 0.01532
1824.0; 64.607; 24.99; -0.00107; 0.17657; -0.10204; 0.01480
1827.0; 64.726; 24.25; -0.00227; 0.19325; -0.10434; 0.01497
1830.0; 64.848; 23.53; -0.00363; 0.20580; -0.11009; 0.01567
1833.0; 64.974; 22.86; -0.00509; 0.21504; -0.11744; 0.01674
1836.0; 65.102; 22.23; -0.00658; 0.22219; -0.12477; 0.01815
1839.0; 65.233; 21.64; -0.00801; 0.22847; -0.13030; 0.01997
1842.0; 65.367; 21.07; -0.00930; 0.23484; -0.13239; 0.02186
1845.0; 65.505; 20.51; -0.01041; 0.24185; -0.13107; 0.02295
1848.0; 65.646; 19.99; -0.01131; 0.24965; -0.12934; 0.02213
1851.0; 65.791; 19.51; -0.01200; 0.25806; -0.13346; 0.01820
1854.0; 65.939; 19.11; -0.01247; 0.26672; -0.15239; 0.01070
1857.0; 66.091; 18.79; -0.01274; 0.27511; -0.19375; 0.00149
1860.0; 66.246; 18.57; -0.01284; 0.28258; -0.25699; -0.00592
1863.0; 66.403; 18.42; -0.01284; 0.28869; -0.33357; -0.00979
1866.0; 66.561; 18.30; -0.01277; 0.29348; -0.41466; -0.01093
1869.0; 66.721; 18.19; -0.01268; 0.29737; -0.49595; -0.01078
1872.0; 66.883; 18.05; -0.01260; 0.30106; -0.57701; -0.01036
1875.0; 67.046; 17.88; -0.01251; 0.30522; -0.65985; -0.01016
1878.0; 67.212; 17.67; -0.01240; 0.31035; -0.74704; -0.00996
1881.0; 67.380; 17.42; -0.01225; 0.31687; -0.83843; -0.00869
1884.0; 67.552; 17.18; -0.01200; 0.32500; -0.92771; -0.00482
1887.0; 67.728; 16.99; -0.01167; 0.33429; -1.00156; 0.00227
1890.0; 67.907; 16.90; -0.01133; 0.34302; -1.04520; 0.01009
1893.0; 68.087; 16.91; -0.01111; 0.34860; -1.05349; 0.01461
1896.0; 68.266; 17.01; -0.01106; 0.34950; -1.03581; 0.01530
1899.0; 68.443; 17.17; -0.01114; 0.34636; -1.00723; 0.01427
1902.0; 68.618; 17.32; -0.01125; 0.34105; -0.97966; 0.01304
1905.0; 68.791; 17.42; -0.01133; 0.33573; -0.95903; 0.01247
1908.0; 68.963; 17.44; -0.01137; 0.33201; -0.94521; 0.01326
1911.0; 69.134; 17.37; -0.01135; 0.33102; -0.93343; 0.01557
1914.0; 69.307; 17.21; -0.01125; 0.33331; -0.91776; 0.01886
1917.0; 69.482; 16.99; -0.01108; 0.33908; -0.89424; 0.02214
1920.0; 69.659; 16.76; -0.01082; 0.34817; -0.86285; 0.02444
1923.0; 69.840; 16.58; -0.01053; 0.35984; -0.82732; 0.02512
1926.0; 70.022; 16.51; -0.01034; 0.37230; -0.79333; 0.02408
1929.0; 70.205; 16.61; -0.01045; 0.38244; -0.76474; 0.02317
1932.0; 70.386; 16.91; -0.01097; 0.38649; -0.73613; 0.02681
1935.0; 70.562; 17.42; -0.01199; 0.38152; -0.68984; 0.03786
1938.0; 70.731; 18.15; -0.01341; 0.36591; -0.60692; 0.05332
1941.0; 70.891; 19.09; -0.01491; 0.33983; -0.48234; 0.06561
1944.0; 71.041; 20.26; -0.01586; 0.30756; -0.33271; 0.06716
1947.0; 71.180; 21.88; -0.01531; 0.28063; -0.18840; 0.05635
1950.0; 71.309; 24.24; -0.01296; 0.26394; -0.07278; 0.04071
1953.0; 71.426; 26.86; -0.00967; 0.23447; 0.01655; 0.02985
1956.0; 71.534; 27.95; -0.00548; 0.17550; 0.11254; 0.02859
1959.0; 71.642; 26.74; -0.00149; 0.07760; 0.25215; 0.03503
1962.0; 71.757; 24.55; -0.00509; -0.15050; 0.42943; 0.03869
1965.0; 71.881; 22.30; -0.00842; -0.23045; 0.62162; 0.03561
1968.0; 72.015; 20.87; -0.00058; -0.27273; 0.84501; 0.03094
1971.0; 72.156; 20.35; 0.01017; -0.28421; 1.08617; 0.02099
1974.0; 72.297; 20.23; 0.02300; -0.25101; 1.32173; 0.00196
1977.0; 72.435; 23.35; 0.02194; -0.44260; 1.48105; -0.02088
1980.0; 72.559; 23.05; 0.03566; -0.28029; 1.51848; -0.06347
1983.0; 72.682; 19.16; 0.04065; -0.15146; 1.45332; -0.08438
1986.0; 72.830; 22.89; 0.00912; -0.72569; 1.22769; -0.06918
1989.0; 72.953; 22.63; 0.03633; -0.27888; 1.09145; -0.06693
1992.0; 73.075; 22.56; 0.03316; -0.29273; 0.96847; -0.06216
1995.0; 73.195; 22.66; 0.03992; -0.19210; 0.93348; -0.04067
1998.0; 73.319; 22.26; 0.03564; -0.34042; 0.99515; -0.02989
2001.0; 73.444; 22.50; 0.03483; -0.36851; 1.14122; -0.03765
2004.0; 73.573; 22.95; 0.09235; -0.90116; 1.34047; -0.06144
2007.0; 73.700; 23.97; 0.11221; -0.71025; 1.35197; -0.05452
2010.0; 73.828; 16.58; 0.03431; -0.26400; 1.29439; -0.05122
2013.0; 73.996; 19.15; 0.02433; -0.42258; 1.00941; -0.06272
2016.0; 74.137; 21.36; 0.02191; -0.34240; 0.88170; -0.03392
2019.0; 74.266; 25.65; 0.01467; -0.31237; 0.78781; -0.02768
2022.0; 74.376; 29.57; 0.00782; -0.25860; 0.69668; -0.03098
2025.0; 74.475; 31.19; 0.00328; -0.17042; 0.59429; -0.03104
2028.0; 74.572; 31.27; -0.00042; -0.09953; 0.49207; -0.02627
2031.0; 74.669; 31.01; 0.00115; -0.05380; 0.40503; -0.02004
2034.0; 74.766; 30.81; 0.00273; -0.01949; 0.34247; -0.01525
2037.0; 74.865; 30.67; -0.00377; 0.00676; 0.30051; -0.01263
2040.0; 74.963; 30.58; -0.00272; 0.02149; 0.27045; -0.01128
2043.0; 75.062; 30.52; -0.00232; 0.02845; 0.24746; -0.01004
2046.0; 75.161; 30.48; -0.00222; 0.02975; 0.22978; -0.00867
2049.0; 75.260; 30.44; -0.00225; 0.02902; 0.21635; -0.00736
2052.0; 75.359; 30.39; -0.00233; 0.02743; 0.20601; -0.00619
2055.0; 75.459; 30.33; -0.00247; 0.02518; 0.19764; -0.00521
2058.0; 75.558; 30.25; -0.00267; 0.02263; 0.19044; -0.00439
2061.0; 75.658; 30.15; -0.00300; 0.01980; 0.18391; -0.00369
2064.0; 75.759; 30.04; -0.00356; 0.01651; 0.17774; -0.00311
2067.0; 75.859; 29.93; -0.00515; 0.01287; 0.17196; -0.00267
2070.0; 75.960; 30.31; -0.00234; 0.03369; 0.14706; -0.00125
2073.0; 76.059; 30.32; 0.00126; 0.04708; 0.15342; 0.00275
2076.0; 76.159; 30.28; 0.00058; -0.03157; 0.16241; 0.00404
2079.0; 76.259; 30.27; 0.00233; -0.02564; 0.16592; 0.00233
2082.0; 76.358; 30.27; 0.00327; -0.02043; 0.16736; 0.00161
2085.0; 76.458; 30.27; 0.00312; -0.01945; 0.16904; 0.00143
2088.0; 76.558; 30.24; 0.00277; -0.02236; 0.17162; 0.00136
2091.0; 76.658; 30.18; 0.00233; -0.02927; 0.17424; 0.00093
2094.0; 76.758; 30.05; 0.00180; -0.03938; 0.17511; -0.00031
2097.0; 76.859; 29.84; 0.00123; -0.05096; 0.17119; -0.00280
2100.0; 76.960; 29.50; 0.00074; -0.06088; 0.15833; -0.00696
2103.0; 77.063; 28.99; 0.00043; -0.06684; 0.13068; -0.01307
2106.0; 77.168; 28.22; 0.00038; -0.06721; 0.08025; -0.02112
2109.0; 77.276; 27.07; 0.00053; 0.07621; 0.01840; -0.02420
2112.0; 77.388; 25.62; 0.00331; 0.12593; -0.04093; -0.02215
2115.0; 77.507; 23.99; 0.00568; 0.16705; -0.12142; -0.02370
2118.0; 77.632; 22.47; 0.00192; 0.20831; -0.24807; -0.02985
2121.0; 77.763; 21.32; -0.00471; 0.23363; -0.44456; -0.03965
2124.0; 77.898; 20.92; -0.01489; 0.23523; -0.73221; -0.05211
2127.0; 78.028; 19.74; -0.00397; 0.52828; -1.02498; -0.02474
2130.0; 78.171; 23.31; -0.01746; 0.54749; -1.21298; 0.01982
2133.0; 78.295; 22.13; -0.06421; -0.11119; -1.37039; 0.11814
2136.0; 78.418; 19.09; -0.09618; 0.96723; -1.27631; 0.13407
2139.0; 78.543; 20.67; -0.10815; 0.90814; -1.27079; 0.11254
2142.0; 78.669; 21.84; -0.10519; 0.80119; -1.36069; 0.09699
2145.0; 78.806; 18.09; -0.10773; 0.57972; -1.19870; 0.09564
2148.0; 78.954; 18.95; -0.01992; 0.43432; -0.93015; 0.07990
2151.0; 79.099; 22.30; -0.01773; 0.37057; -0.65195; 0.05483
2154.0; 79.222; 26.98; -0.01019; 0.32462; -0.44606; 0.03140
2157.0; 79.331; 27.65; -0.00419; 0.15355; -0.29551; 0.01314
2160.0; 79.441; 25.91; -0.00559; -0.03475; -0.17575; 0.00085
