# s_m; t_s; f_x_f_N; f_y_f_N; f_z_f_N;f_x_r_N; f_y_r_N; f_z_r_N;
183.0; 6.490; -5878.3; 147804.2; -205988.3; -479.8; 143006.6; -206712.7
186.0; 6.590; -5878.3; 147770.9; -205957.4; -479.8; 142997.1; -206681.9
189.0; 6.689; -5878.3; 147739.3; -205930.9; -479.8; 142991.7; -206655.3
192.0; 6.788; -5878.3; 147703.5; -205901.8; -479.8; 142986.1; -206626.2
195.0; 6.888; -5878.4; 147660.2; -205865.2; -479.9; 142976.4; -206589.7
198.0; 6.987; -5878.5; 147610.1; -205818.6; -479.9; 142958.3; -206543.2
201.0; 7.087; -5878.6; 147553.8; -205760.3; -480.0; 142928.8; -206484.9
204.0; 7.186; -5878.7; 147493.9; -205691.7; -480.1; 142888.4; -206416.3
207.0; 7.286; -5878.8; 147434.9; -205618.9; -480.2; 142841.9; -206343.6
210.0; 7.385; -5878.8; 147381.1; -205550.4; -480.2; 142797.8; -206275.1
213.0; 7.485; -5878.8; 147335.1; -205495.6; -480.2; 142767.9; -206220.4
216.0; 7.584; -5878.7; 147297.4; -205462.8; -480.2; 142763.2; -206187.5
219.0; 7.683; -5878.7; 147263.5; -205453.9; -480.1; 142790.2; -206178.5
222.0; 7.783; -5878.7; 147224.1; -205462.8; -480.1; 142848.2; -206187.5
225.0; 7.882; -5878.7; 147165.2; -205475.8; -480.1; 142929.7; -206200.5
228.0; 7.982; -5878.9; 147069.2; -205472.8; -480.3; 143022.1; -206197.6
231.0; 8.081; -5879.1; 146917.1; -205431.0; -480.4; 143112.4; -206155.9
234.0; 8.181; -5879.3; 146690.7; -205325.7; -480.6; 143184.4; -206050.7
237.0; 8.281; -5879.6; 146374.6; -205131.5; -480.8; 143218.8; -205856.6
240.0; 8.380; -5879.8; 145960.2; -204827.4; -481.0; 143196.2; -205552.7
243.0; 8.480; -5879.9; 145450.7; -204399.7; -481.1; 143094.2; -205124.9
246.0; 8.579; -5880.0; 144854.8; -203836.1; -481.2; 142886.5; -204561.4
249.0; 8.679; -5880.0; 144169.0; -203111.3; -481.2; 142540.0; -203836.6
252.0; 8.778; -5880.0; 143356.9; -202169.8; -481.2; 142013.0; -202895.2
255.0; 8.878; -5880.0; 142343.3; -200912.7; -481.2; 141240.5; -201638.1
258.0; 8.977; -5880.0; 141014.6; -199181.0; -481.1; 140109.8; -199906.3
261.0; 9.077; -5879.9; 139202.9; -196739.2; -481.0; 138454.9; -197464.5
264.0; 9.176; -5879.7; 136662.8; -193241.9; -480.9; 136030.2; -193967.1
267.0; 9.276; -5879.4; 133018.4; -188155.0; -480.7; 132452.1; -188880.1
270.0; 9.375; -5879.0; 127663.9; -180618.7; -480.2; 127101.8; -181343.4
273.0; 9.475; -5878.1; 119588.4; -169202.9; -479.4; 118948.0; -169927.0
276.0; 9.574; -5876.5; 107140.2; -151577.0; -478.1; 106287.5; -152299.9
279.0; 9.673; -5874.8; 87728.0; -124084.9; -476.6; 86193.5; -124806.4
282.0; 9.772; -5892.6; 57300.6; -80931.0; -493.5; 50355.8; -81660.0
285.0; 9.870; -5729.9; 15093.9; -22860.4; -348.4; 15971.5; -23512.3
288.0; 9.969; -5899.4; 100506.0; -143181.0; -498.5; 101152.6; -143914.6
291.0; 10.068; -5887.1; -675313.9; -954705.7; -487.6; -675150.5; -955434.0
294.0; 10.168; -5883.9; -221471.4; -313297.3; -484.7; -221268.6; -314024.4
297.0; 10.267; -5882.5; -134741.6; -190955.9; -483.5; -134596.7; -191682.6
300.0; 10.367; -5882.1; -92327.0; -131180.3; -483.1; -92290.5; -131906.9
303.0; 10.466; -5880.3; -97540.7; -138589.7; -481.5; -97588.6; -139315.6
306.0; 10.566; -5878.7; -112679.8; -159901.2; -480.1; -112692.6; -160626.3
309.0; 10.666; -5878.3; -124606.5; -176551.3; -479.8; -124393.0; -177276.2
312.0; 10.766; -5878.5; -132094.6; -186848.6; -479.9; -131514.1; -187573.6
315.0; 10.865; -5878.7; -136585.4; -192875.2; -480.2; -135571.5; -193600.3
318.0; 10.965; -5879.0; -139336.1; -196432.0; -480.4; -137865.0; -197157.2
321.0; 11.065; -5879.1; -141097.8; -198606.8; -480.6; -139188.4; -199332.2
324.0; 11.165; -5879.1; -142267.9; -199982.0; -480.6; -139971.1; -200707.3
327.0; 11.264; -5879.0; -143056.8; -200870.7; -480.5; -140447.3; -201596.0
330.0; 11.364; -5878.8; -143578.0; -201445.1; -480.3; -140746.9; -202170.3
333.0; 11.464; -5878.5; -143895.8; -201802.0; -480.1; -140941.6; -202527.0
336.0; 11.564; -5878.2; -144046.9; -201993.0; -479.9; -141066.5; -202717.9
339.0; 11.664; -5878.0; -144049.4; -202035.6; -479.7; -141127.2; -202760.4
342.0; 11.763; -5877.8; -143913.9; -201925.5; -479.5; -141106.1; -202650.3
345.0; 11.863; -5877.7; -143639.3; -201628.8; -479.5; -140955.7; -202353.5
348.0; 11.963; -5877.8; -143197.2; -201078.6; -479.6; -140610.7; -201803.4
351.0; 12.063; -5878.1; -142508.3; -200162.7; -479.9; -139993.9; -200887.7
354.0; 12.163; -5878.8; -141483.4; -198746.5; -480.5; -139004.6; -199472.0
357.0; 12.263; -5880.3; -140141.1; -196831.5; -481.9; -137625.3; -197558.0
360.0; 12.363; -5883.1; -138893.6; -194950.0; -484.4; -136194.6; -195678.5
363.0; 12.463; -5888.0; -138696.1; -194363.8; -488.9; -135541.9; -195095.6
366.0; 12.564; -5896.2; -140081.4; -195774.7; -496.2; -136135.8; -196512.0
369.0; 12.666; -5908.9; -142173.1; -198040.1; -507.7; -137269.6; -198786.1
372.0; 12.769; -5928.4; -143715.9; -199697.4; -525.3; -138209.5; -200456.4
375.0; 12.875; -5960.0; -143746.4; -199979.0; -553.5; -138812.9; -200758.3
378.0; 12.984; -6012.6; -141814.4; -199528.8; -600.2; -139960.6; -200339.9
381.0; 13.097; -6091.5; -267618.3; -199567.1; -670.6; -183549.4; -200422.9
